Entomobryidae_cluster1	Animalia	Arthropoda	Collembola	Entomobryomorpha	Entomobryidae	Entomobrya	Entomobrya_X	BOLAAA8924
Blattidae_cluster1	Animalia	Arthropoda	Insecta	Blattodea	Blattidae	Shelfordella	Shelfordella lateralis	BOLAAG9959
Drosophilidae_cluster1	Animalia	Arthropoda	Insecta	Diptera	Drosophilidae	Drosophila	Drosophila bicornuta	BOLAAV6760
Gryllidae_cluster1	Animalia	Arthropoda	Insecta	Orthoptera	Gryllidae	Gryllus	Gryllus bimaculatus	BOLABX6319
Entomobryidae_cluster2	Animalia	Arthropoda	Collembola	Entomobryomorpha	Entomobryidae	Entomobrya	Entomobrya_X	BOLACP6367
Polleniidae_cluster1	Animalia	Arthropoda	Insecta	Diptera	Polleniidae	Pollenia	Pollenia vagabunda	BOLAAH3040
Entomobryidae_cluster3	Animalia	Arthropoda	Collembola	Entomobryomorpha	Entomobryidae	Entomobrya	Entomobrya_X	BOLAAT9503
Entomobryidae_cluster4	Animalia	Arthropoda	Collembola	Entomobryomorpha	Entomobryidae	Lepidocyrtus	Lepidocyrtus_X	BOLACC6512
Drosophilidae_cluster2	Animalia	Arthropoda	Insecta	Diptera	Drosophilidae	Drosophila	Drosophila serrata	BOLAAU1484
Ectobiidae_cluster1	Animalia	Arthropoda	Insecta	Blattodea	Ectobiidae	Ectobius	Ectobius lapponicus	BOLAAG9957
Entomobryidae_cluster5	Animalia	Arthropoda	Collembola	Entomobryomorpha	Entomobryidae	Lepidocyrtus	Lepidocyrtus lanuginosus	BOLAAT9557
Muscidae_cluster1	Animalia	Arthropoda	Insecta	Diptera	Muscidae	Muscidae_Helina	Muscidae_Helina depuncta	BOLAAG1711
Drosophilidae_cluster3	Animalia	Arthropoda	Insecta	Diptera	Drosophilidae	Drosophila	Drosophila_X	BOLAAV6734
Chironomidae_cluster1	Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Bryophaenocladius	Bryophaenocladius_X	BOLAAG1021
Gryllidae_cluster2	Animalia	Arthropoda	Insecta	Orthoptera	Gryllidae	Gryllodes	Gryllodes supplicans	BOLABW5620
Chironomidae_cluster2	Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Limnophyes	Limnophyes_X	BOLABU5525
Orchesellidae_cluster1	Animalia	Arthropoda	Collembola	Entomobryomorpha	Orchesellidae	Orchesella	Orchesella flavescens	BOLACM5206
Muscidae_cluster2	Animalia	Arthropoda	Insecta	Diptera	Muscidae	Phaonia	Phaonia tuguriorum	BOLAAL2750
Entomobryidae_cluster6	Animalia	Arthropoda	Collembola	Entomobryomorpha	Entomobryidae	Entomobrya	Entomobrya_X	BOLABA7344
Chironomidae_cluster3	Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Limnophyes	Limnophyes minimus	BOLAAA8204
Scathophagidae_cluster1	Animalia	Arthropoda	Insecta	Diptera	Scathophagidae	Scathophaga	Scathophaga furcata	BOLAAD0853
Muscidae_cluster3	Animalia	Arthropoda	Insecta	Diptera	Muscidae	Phaonia	Phaonia errans	BOLACC4867
Syrphidae_cluster1	Animalia	Arthropoda	Insecta	Diptera	Syrphidae	Sphaerophoria	Sphaerophoria_X	BOLAAA7374
Entomobryidae_cluster7	Animalia	Arthropoda	Collembola	Entomobryomorpha	Entomobryidae	Entomobrya	Entomobrya_X	BOLACC6147
Muscidae_cluster4	Animalia	Arthropoda	Insecta	Diptera	Muscidae	Mesembrina	Mesembrina mystacea	BOLACA8936
Caeciliusidae_cluster1	Animalia	Arthropoda	Insecta	Psocodea	Caeciliusidae	Valenzuela	Valenzuela burmeisteri	unresolved.Valenzuela burmeisteri
Anthomyiidae_cluster2	Animalia	Arthropoda	Insecta	Diptera	Anthomyiidae	Hylemya	Hylemya vagans	BOLABA6492
Nemouridae_cluster1	Animalia	Arthropoda	Insecta	Plecoptera	Nemouridae	Nemoura	Nemoura cinerea	BOLAAG9376
Scathophagidae_cluster2	Animalia	Arthropoda	Insecta	Diptera	Scathophagidae	Nanna	Nanna_X	BOLACB6511
Muscidae_cluster5	Animalia	Arthropoda	Insecta	Diptera	Muscidae	Muscidae_Helina	unresolved.Muscidae_Helina	unresolved.Muscidae_Helina
Anthomyiidae_cluster3	Animalia	Arthropoda	Insecta	Diptera	Anthomyiidae	Hydrophoria	Hydrophoria lancifer	unresolved.Hydrophoria lancifer
Polleniidae_cluster2	Animalia	Arthropoda	Insecta	Diptera	Polleniidae	Pollenia	Pollenia labialis	BOLAAI2765
Scathophagidae_cluster3	Animalia	Arthropoda	Insecta	Diptera	Scathophagidae	Scathophaga	Scathophaga furcata	BOLAAD0853
Tortricidae_cluster1	Animalia	Arthropoda	Insecta	Lepidoptera	Tortricidae	Epinotia	Epinotia crenana	BOLAAE1756
Sciaridae_cluster1	Animalia	Arthropoda	Insecta	Diptera	Sciaridae	Corynoptera	Corynoptera verrucifera	BOLACP5811
Anthomyiidae_cluster4	Animalia	Arthropoda	Insecta	Diptera	Anthomyiidae	Pegomya	Pegomya_X	BOLAAG2506
Muscidae_cluster8	Animalia	Arthropoda	Insecta	Diptera	Muscidae	Hydrotaea	Hydrotaea_X	BOLAAX2545
Heleomyzidae_cluster1	Animalia	Arthropoda	Insecta	Diptera	Heleomyzidae	Suillia	Suillia flavifrons	BOLACB8523
Mycetophilidae_cluster1	Animalia	Arthropoda	Insecta	Diptera	Mycetophilidae	Mycetophila	Mycetophila fungorum	BOLABU7342
