cluster	S8APX1_L	SLWUQ2_L	S5MEZA_L	SY34ZS_L	STHFJP_L	SKYQAL_L	SIRUBH_L	SCNXZK_L	SUXEKB_L	SQVR9H_L	SIUQ3G_L	SG3CB2_L	SBWPUY_L	SC1YIM_L	SACBBR_L	BLANK_L	S8APX1_H	SLWUQ2_H	S5MEZA_H	SY34ZS_H	STHFJP_H	SKYQAL_H	SIRUBH_H	SCNXZK_H	SUXEKB_H	SQVR9H_H	SIUQ3G_H	SG3CB2_H	SBWPUY_H	SC1YIM_H	SACBBR_H	POS	NEG_PCR	NEG
Entomobryidae_cluster16	1771	45	0	1672	0	116	820	447	8254	1392	6979	17036	751	0	0	0	533	12	0	28	0	12	28	17	461	123	449	612	83	0	0	0	0	0
Chironomidae_cluster440	823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Drosophilidae_cluster2	5763	232	689	29059	0	774	720	779	2079	8199	2156	9992	2159	1431	0	0	3011	509	325	1179	265	1035	1386	722	719	3710	2122	1637	702	2736	2852	2043	0	0
Muscidae_cluster54	430	628	1594	0	3716	0	0	7378	0	0	0	0	0	0	1216	0	7795	3283	3070	0	10395	0	0	3528	0	0	0	0	0	0	7697	0	0	0
Chironomidae_cluster11	3476	2471	0	0	0	0	52174	0	0	0	0	0	0	0	45612	0	3816	1466	0	0	0	0	16694	0	0	0	0	0	0	0	23696	0	0	0
Chironomidae_cluster9	5536	0	44361	15053	12011	1074	0	1350	676	0	5131	0	0	0	0	0	5298	0	4135	1171	1327	236	0	458	327	0	543	0	0	0	0	146	0	0
Hominidae_cluster1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Entomobryidae_cluster5	6930	10346	0	0	0	0	4635	0	4027	0	0	0	0	0	0	0	5122	2954	0	0	0	0	348	0	451	0	0	0	0	0	0	38532	0	0
Chironomidae_cluster15	6337	0	5243	0	0	0	12922	10438	0	0	0	0	0	0	0	0	2380	0	184	0	0	0	1761	508	0	0	0	0	0	0	0	206	0	0
Gryllidae_cluster2	2323	651	3231	18338	6177	2710	313	7737	11182	2170	1136	6945	5638	2443	1570	0	2534	2692	815	2649	1694	1798	3514	3055	1161	3113	1099	2326	1068	6910	4047	56	0	0
Gryllidae_cluster1	4302	6551	14054	12324	3791	3506	8714	14473	21291	3515	10439	26471	46179	24151	8330	0	19848	5217	1851	6290	3683	8179	6911	8833	5622	27649	14255	6398	3398	13094	21341	229	0	0
Tachinidae_cluster19	776	0	4065	0	4615	8275	0	0	0	0	0	0	0	0	0	0	14164	0	9468	0	7291	10631	0	0	0	0	0	0	0	0	0	0	0	0
Scathophagidae_cluster3	1381	1468	0	8918	0	0	0	6114	0	0	0	0	0	0	0	0	7346	1193	0	21465	0	0	0	22660	0	0	0	0	0	0	0	0	0	0
Ectobiidae_cluster1	6091	0	0	18467	0	0	0	0	0	0	0	0	0	0	0	0	12571	0	0	7067	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cicadellidae_cluster1	536	0	0	0	0	0	0	1168	7901	817	0	0	0	0	0	0	1946	0	0	0	0	0	0	1771	4427	1973	0	0	0	0	0	0	0	0
Entomobryidae_cluster13	6784	1725	711	1221	122	598	4187	630	0	0	30	2245	0	2130	2345	0	1957	255	53	46	0	12	307	10	0	0	0	45	0	145	207	109	0	0
Mycetophilidae_cluster167	26	40	0	0	0	0	0	0	419	192	0	0	207	0	0	0	100	10	3	0	0	0	0	0	76	52	0	0	9	0	0	0	0	0
Hemerobiidae_cluster2	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thripidae_cluster1	297	72	0	1110	0	104	357	3135	2700	0	0	309	0	0	799	0	176	314	0	637	0	52	204	990	913	0	0	212	0	0	404	0	0	0
