cluster;ELA001_H1;ELA001_H2_pf;ELA001_H3;ELA001_H4_pf;ELA001_H5;ELA001_H6;ELA001_H7;ELA001_H8_pf;ELA001_H9;ELA001_H10;ELA001_H11;ELA001_H12;ELA001_H13;ELA001_H14;ELA001_H15
Cecidomyiidae_cluster316;0;0;0;0;0;0;0;569;0;0;0;0;0;0;0
Cecidomyiidae_cluster32;0;0;2469;507;0;0;0;164;0;0;0;0;0;0;0
Cecidomyiidae_cluster34;0;0;0;249;0;0;0;0;0;0;0;0;0;0;0
Cecidomyiidae_cluster43;0;0;0;0;0;205;0;0;0;0;0;0;0;0;0
Cecidomyiidae_cluster436;128;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cecidomyiidae_cluster46;0;0;0;0;0;4262;0;0;0;0;0;0;0;0;0
Cecidomyiidae_cluster544;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0
Cecidomyiidae_cluster599;0;0;0;0;0;0;0;1079;0;0;0;0;0;0;0
Cecidomyiidae_cluster6;0;0;0;1555;0;0;946;3636;0;0;0;0;0;0;0
Cecidomyiidae_cluster615;0;0;0;0;0;347;0;0;0;0;0;0;0;0;0
Cecidomyiidae_cluster653;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1930
Cecidomyiidae_cluster662;0;0;0;0;0;135;0;0;0;0;0;0;0;0;0
Cecidomyiidae_cluster70;0;0;0;0;0;7973;0;0;0;0;0;0;0;0;1393
Cecidomyiidae_cluster790;0;136;0;0;0;0;0;0;0;0;0;0;0;0;0
Cecidomyiidae_cluster849;0;0;139;202;0;0;0;0;0;0;0;0;0;0;0
Cecidomyiidae_cluster920;0;0;0;95;0;0;0;0;0;0;0;0;0;0;0
Cecidomyiidae_cluster99;0;0;0;0;0;0;0;0;0;0;17962;0;0;0;0
Cerambycidae_cluster17;0;0;2340;0;0;0;0;0;0;0;0;0;0;0;0
Cerambycidae_cluster3;0;0;0;59848;0;0;42069;0;0;0;0;0;0;0;0
Ceraphronidae_cluster123;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ceraphronidae_cluster4;0;141;0;16;0;0;203;39;41;0;0;47;8;0;0
Ceraphronidae_cluster9;0;0;22;0;0;0;0;9;0;8;0;0;0;0;0
Ceratopogonidae_cluster44;0;0;0;0;0;330;0;0;0;0;0;0;0;0;0
Ceratopogonidae_cluster45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2111
Ceratopogonidae_cluster67;0;0;0;0;0;744;0;0;0;0;0;0;0;0;0
Chamaemyiidae_cluster1;0;0;132;0;0;0;0;0;1240;0;0;0;0;0;0
Chironomidae_cluster1;5003;2087;3792;1367;2206;0;7188;0;0;0;0;0;0;0;0
Chironomidae_cluster10;0;0;0;0;0;2426;0;0;0;0;0;0;0;0;0
Chironomidae_cluster104;0;0;0;0;0;548;0;0;0;0;0;0;0;0;0
Chironomidae_cluster105;0;0;0;0;0;419;0;0;0;0;0;0;0;0;0
Chironomidae_cluster11;3816;1466;0;0;0;0;16694;0;0;0;0;0;0;0;23696
Chironomidae_cluster15;2380;0;184;0;0;0;1761;508;0;0;0;0;0;0;0
Chironomidae_cluster17;0;209;0;0;0;0;0;0;0;0;0;0;0;0;0
Chironomidae_cluster19;0;4053;0;685;0;0;1381;0;5;0;0;0;0;0;0
Chironomidae_cluster2;0;0;0;433;0;369;0;641;0;0;0;0;0;0;0
Chironomidae_cluster222;0;0;0;0;0;0;0;0;701;0;0;0;0;0;0
Chironomidae_cluster224;0;0;0;0;0;429;0;0;0;0;0;0;0;0;0
Chironomidae_cluster23;0;0;0;0;0;2975;0;0;0;0;0;0;0;0;0
Chironomidae_cluster24;10;0;2956;1482;1669;1020;0;1204;0;0;0;0;28;1763;9026
Chironomidae_cluster25;0;0;1005;0;0;0;0;0;0;0;0;0;0;0;0
Chironomidae_cluster26;0;0;0;700;0;5883;1422;0;0;0;0;0;0;0;0
Chironomidae_cluster3;0;201;0;0;0;791;718;0;0;0;0;0;0;0;7860
Chironomidae_cluster30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7885
Chironomidae_cluster312;0;0;0;0;0;1910;0;0;0;0;0;0;0;0;0
Chironomidae_cluster32;1953;361;0;752;0;713;0;0;1414;0;0;5482;0;0;0
Chironomidae_cluster341;0;0;0;0;0;0;0;0;0;0;0;0;0;12057;0
Chironomidae_cluster387;0;488;0;0;0;0;0;0;0;0;0;0;0;0;0
Chironomidae_cluster41;0;0;0;0;0;0;0;0;0;0;0;0;192;0;0
Chironomidae_cluster415;0;0;0;0;2749;0;0;0;0;0;0;0;0;0;0
Chironomidae_cluster44;67657;2242;0;0;0;0;0;0;0;0;0;0;0;7221;0
Chironomidae_cluster440;861;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Chironomidae_cluster51;0;0;0;1759;0;1451;1671;1221;0;0;0;1275;0;0;2172
Chironomidae_cluster532;0;300;0;0;0;0;889;0;0;0;0;0;0;0;0
Chironomidae_cluster60;0;0;0;7;0;9365;17;1870;0;0;0;0;0;0;0
Chironomidae_cluster89;0;0;0;0;0;0;0;0;0;0;203;0;0;0;0
Chironomidae_cluster9;5298;0;4135;1171;1327;236;0;458;327;0;543;0;0;0;0
Chloropidae_cluster10;0;0;134;0;111;0;0;0;0;0;0;0;0;0;0
Chloropidae_cluster48;0;225;0;0;0;0;0;0;0;0;0;0;0;0;0
Chloropidae_cluster8;733;62;0;0;734;0;0;0;0;0;0;0;0;0;0
Chrysomelidae_cluster25;0;190;0;282;0;0;0;0;493;0;0;0;0;0;0
Chrysomelidae_cluster3;0;0;0;0;0;0;0;0;0;0;0;0;248;0;0
Chrysomelidae_cluster30;0;0;0;0;0;0;0;0;0;0;2312;2268;0;0;0
Chrysomelidae_cluster55;0;0;0;0;0;0;0;0;407;0;0;0;0;0;0
Chrysomelidae_cluster9;0;0;0;0;0;0;0;0;448;0;0;0;0;0;0
Chrysopidae_cluster3;0;123;377;131;0;0;516;0;0;0;0;0;89;0;0
Chrysopidae_cluster4;0;0;0;0;0;0;0;0;0;7945;0;0;0;0;0
Cicadellidae_cluster1;1946;0;0;0;0;0;0;1771;4427;1973;0;0;0;0;0
Cicadellidae_cluster13;0;0;0;0;0;325;0;0;0;0;1277;0;0;0;1648
Cicadellidae_cluster169;0;0;719;0;0;0;0;0;0;0;0;0;0;0;0
Cicadellidae_cluster2;0;0;0;0;0;549;0;1462;0;0;0;0;0;0;0
Cicadellidae_cluster31;331;0;250;0;0;0;0;0;0;0;0;0;0;0;0
Cicadellidae_cluster4;2525;1506;282;202;253;0;0;0;0;0;0;632;0;4919;2720
Cicadellidae_cluster8;0;0;0;171;0;0;0;0;0;0;0;0;0;0;0
Cleridae_cluster1;30625;2115;5542;0;0;0;0;0;16114;0;0;0;7074;0;0
Clubionidae_cluster5;0;0;0;4336;0;0;0;4458;0;0;0;0;0;0;0
Clubionidae_cluster6;0;21319;0;0;0;0;0;0;0;0;0;0;0;0;0
Clubionidae_cluster8;0;0;0;0;0;0;48194;0;3521;0;0;0;0;0;1122
Coccinellidae_cluster1;0;0;4901;7259;0;0;0;0;0;0;0;0;0;0;0
Coccinellidae_cluster11;0;0;0;1569;0;0;0;13518;0;0;0;0;0;0;0
Coccinellidae_cluster19;0;0;353;0;0;0;0;0;0;0;0;0;0;0;0
Cryptophagidae_cluster1;0;0;0;0;0;0;0;0;0;713;0;0;0;0;0
Cryptophagidae_cluster2;0;0;0;0;0;0;0;0;319;0;0;596;21;0;0
Cryptophagidae_cluster3;0;0;0;0;0;0;0;0;214;0;0;0;0;0;0
Culicidae_cluster4;0;0;0;0;0;3915;0;0;0;0;0;0;0;0;0
Curculionidae_cluster1;0;0;0;0;0;14329;0;16479;0;0;0;0;0;0;0
Curculionidae_cluster11;0;0;98;0;0;0;0;0;6090;9062;16066;39518;0;0;0
Curculionidae_cluster16;0;0;0;0;0;0;0;0;5282;0;7883;7770;0;0;0
Curculionidae_cluster2;0;0;0;0;0;0;0;0;3171;0;0;0;7712;0;0
Curculionidae_cluster21;0;27;0;0;0;0;0;0;0;0;0;0;0;0;0
Curculionidae_cluster22;0;0;0;0;0;0;0;409;0;0;0;0;0;0;0
Curculionidae_cluster24;0;0;0;0;0;0;0;0;272;0;3002;2501;0;0;0
Curculionidae_cluster3;24;3;0;0;0;0;0;0;0;7221;0;0;0;5065;0
Curculionidae_cluster38;0;0;0;0;0;51;0;0;0;0;0;0;0;0;0
Curculionidae_cluster5;0;0;0;0;0;2284;0;0;0;0;0;0;0;0;0
Curculionidae_cluster8;1845;108;107;1384;229;0;0;0;0;0;0;0;0;0;0
Cybaeidae_cluster1;568;98;0;0;0;0;0;0;0;0;133;0;0;0;1209
Cynipidae_cluster13;0;0;0;0;0;0;0;0;0;0;0;0;98;0;0
Diapriidae_cluster1;0;0;0;0;0;21;0;0;0;0;0;0;0;0;0
Diapriidae_cluster119;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0
Diapriidae_cluster163;0;0;0;0;0;0;228;0;0;0;0;0;0;0;0
Diapriidae_cluster169;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Diapriidae_cluster19;0;0;11;8;0;0;0;9;0;0;0;0;0;0;0
Diapriidae_cluster22;0;0;0;0;0;0;0;0;47;0;0;0;0;0;0
Diapriidae_cluster30;159;30;0;0;0;0;0;0;208;0;0;0;75;0;0
Diapriidae_cluster328;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0
Diapriidae_cluster71;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0
Diapriidae_cluster9;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0
Dictynidae_cluster1;0;0;0;0;0;0;0;0;0;0;579;0;0;0;0
